ep,return,steps,corr_frac,pol_loss,val_loss,entropy,smooth_return
1027,-139.5,300,0.023333333333333334,0.3771504759788513,585.7619018554688,4.183791160583496,-84.34271725085131
1028,-120.0,300,0.06666666666666667,0.2520335912704468,468.3373107910156,3.4529566764831543,-86.12558138830875
1029,-37.5,300,0.25,-0.2344302386045456,92.47429656982422,2.1474087238311768,-83.6943023188933
1030,-136.5,300,0.03,0.41823670268058777,574.2572021484375,4.771063327789307,-86.33458720294864
1031,-136.5,300,0.03,0.49344611167907715,586.1146240234375,4.168516635894775,-88.84285784280121
1032,-106.5,300,0.09666666666666666,0.035578105598688126,333.0899353027344,2.6969311237335205,-89.72571495066114
1033,-145.5,300,0.01,-0.038033753633499146,613.939208984375,4.690835952758789,-92.51442920312809
1034,-123.0,300,0.06,0.47053655982017517,439.10015869140625,3.658205986022949,-94.03870774297168
1035,-132.0,300,0.04,-0.33949795365333557,515.6936645507812,4.271072864532471,-95.93677235582308
1036,-49.5,300,0.22333333333333333,-0.018598074093461037,112.72261047363281,2.6761481761932373,-93.61493373803192
1037,-138.0,300,0.02666666666666667,-0.6797583699226379,539.1165161132812,4.507323741912842,-95.83418705113033
1038,-127.5,300,0.05,-0.13061678409576416,466.9895935058594,3.9569897651672363,-97.4174776985738
1039,-94.5,300,0.12333333333333334,-0.06422656029462814,266.9989013671875,2.6352882385253906,-97.2716038136451
1040,-43.0,137,0.12408759124087591,-0.1399514377117157,111.20271301269531,2.9630565643310547,-94.55802362296285
1041,-1.5,51,0.3137254901960784,-0.06118325889110565,2.7081820964813232,1.543953776359558,-89.90512244181471
1042,-64.5,300,0.19,-0.9834409952163696,161.53887939453125,3.0889968872070312,-88.63486631972397
1043,-69.0,300,0.18,-0.2193554937839508,282.78973388671875,3.2963943481445312,-87.65312300373778
1044,0.0,300,0.3333333333333333,-0.52113276720047,113.8320083618164,2.0760364532470703,-83.27046685355089
1045,-141.0,300,0.02,0.19189772009849548,584.2843627929688,3.973193883895874,-86.15694351087333
1046,-84.0,300,0.14666666666666667,-0.5306766629219055,201.26747131347656,2.5529329776763916,-86.04909633532966
1047,-27.5,94,0.13829787234042554,0.27658969163894653,94.98139190673828,3.583317756652832,-83.12164151856318
1048,-25.5,57,0.03508771929824561,0.08788687735795975,74.35291290283203,3.729646921157837,-80.24055944263502
1049,2.5,16,0.4375,0.18175190687179565,4.3354034423828125,1.2604351043701172,-76.10353147050326
1050,-45.0,300,0.23333333333333334,-0.3233078122138977,52.920936584472656,2.792304039001465,-74.5483548969781
